CustomerName,CustomerNumber,Inactive,Address1,Address2,Address3,City,State,Zip,Country,Phone,Email,Website,Division,TermsCode,PriceGroupCode,SalesAgentCode,TradeClass,TaxCode,Warehouse,BillingNumber,Currency,TaxExempt,PriceRemark,GeneralRemark,ShippingRemark,SpecialRemark1,SpecialRemark2,SpecialRemark3,SpecialRemark4,SpecialRemark5,SpecialRemark6,SpecialRemark7,SpecialRemark8,SpecialRemark9,SpecialRemark10,CreditOption,CreditLimit,CreateDate,UpdateDate,Truck,RemainingShelfLife,ShelfLifeUnit,ShelfLifeBasis,CustomFields
0010950,0010950,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.107-05:00,2025-02-06T14:42:20.107-05:00,,,0,0,{}
"Homestat Farm, Ltd.",0010951,False,201 Race St.,,,Highspire,PA,17034,USA,(717) 939-0407,jhulsizer@homestatfarm.com,,1,AR30,C,0000,,100,,,,,,,,"UPS Freight Acct No.:  34177791  
                                              
RECEIVING DOCK HOURS: Tuesday - Friday 5am-1pm

Email tech data sheet and tracking information to  Jenny Enders at jenders@homestatfarm.com and Charles Kern at ckern@homestat",,,"11/26/18 Contacted buyer about past due and asked for AP contact.

8/27/20  emailed Charles (buyer) re 582332.  Could not find AP contact.
9/1/20   Charles said waiting for backorder to complete
9/14/20  Emailed Charles for update.  Charles said invoice approved.
9/24/20  Emailed Angela arae@homestatfarm.com in AP re 582332.  She will pay
                today.
3/23/23 emailed Jennifer & Charles ref 618170
3/24/23 invoice is in current check run
UPS Freight Acct No.:  34177791  
                                              
RECEIVING DOCK HOURS: Tuesday - Friday 5am-1pm

Email tech data sheet and tracking information to  Jenny Enders at jenders@homestatfarm.com and Charles Kern at ckern@homestatfarm.com",,,,,,,,30000.0,2024-01-10T15:54:41.207-05:00,2025-01-13T17:26:36.187-05:00,,,0,0,{}
0010952,0010952,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.12-05:00,2025-02-06T14:42:20.12-05:00,,,0,0,{}
0010953,0010953,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.137-05:00,2025-02-06T14:42:20.137-05:00,,,0,0,{}
Brightwell Aquatics,0010954,False,212 33rd Street NE,,,Fort Payne,AL,35967,USA,(570) 486-4787,info@brightwellaquatics.com,,1,AR03,C,0000,,100,,,,,,,,"UPS Acct. No. 37Y-536 (verify on PO)
UPS Acct. No. X1Y-224 (verify on PO)


For TRUCK Shipments:
DO NOT PREPAY AND ADD FREIGHT.  Contact them shipping dimensions and weight(s).  Customer will not pay freight charges without prior written approval.

Send c",,,"AMX
3715 386248 42050
Name: David L. Matteson II
Exp: 08/2016
Pin: 9080
CC Billing Address: 100 Jacobs Road, Rockaway, NJ 07866  

AMX
3715 386248 43058           
Name: David L. Matteson II
Exp: 03/2020
Pin: 2340
CC Billing Address: 100 Jacobs Road, Rockaway, NJ 07866
    
                                               
UPS Acct. No. 37Y-536 (verify on PO)
UPS Acct. No. X1Y-224 (verify on PO)


For TRUCK Shipments:
DO NOT PREPAY AND ADD FREIGHT.  Contact them shipping dimensions and weight(s).  Customer will not pay freight charges without prior written approval.

Send copy of invoice via US mail. (per customer they don't check emails)",,,,,,,,0.0,2024-01-10T15:54:41.963-05:00,2025-01-08T16:26:55.507-05:00,,,0,0,{}
"Arcade Marketing, CP",0010955,True,7600 Energy Parkway,,,Curtis Bay,MD,21226,USA,(410) 360-3636,purchasingbal@arcadeinc.com,,1,AR10,C,0000,,100,,,,,,,,UPS Acct No.- 263-E44,,,UPS Acct No.- 263-E44,,,,,,,,1000.0,2024-01-10T15:46:44.307-05:00,2025-01-08T16:26:55.553-05:00,,,0,0,{}
0010956,0010956,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.167-05:00,2025-02-06T14:42:20.167-05:00,,,0,0,{}
0010957,0010957,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.183-05:00,2025-02-06T14:42:20.183-05:00,,,0,0,{}
"Daychem Laboratories, Inc.",0010958,True,Accounts Payable,970 Industrial Park Drive,,Vandalia,OH,45377,USA,(937) 264-1000,llivermore@daychem.com,,1,AR10,C,0000,,100,,,,,,,,Fedex 112237321,,,Fedex 112237321,,,,,,,,1000.0,2024-01-10T15:54:42.733-05:00,2025-01-08T16:26:55.6-05:00,,,0,0,{}
Columbus Nanoworks,0010959,True,Attn: Arfaan Rampersaud,1381 Kinnear Rd.,,Columbus,OH,43212,USA,(614) 485-9293,arfaan@columbusnanoworks.com,,1,AR03,C,0000,,100,,,,,,,,,,,,,,,,,,,0.0,2024-01-10T15:46:45.08-05:00,2024-01-10T15:46:45.08-05:00,,,0,0,{}
0010960,0010960,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.2-05:00,2025-02-06T14:42:20.2-05:00,,,0,0,{}
0010961,0010961,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.213-05:00,2025-02-06T14:42:20.213-05:00,,,0,0,{}
0010962,0010962,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.23-05:00,2025-02-06T14:42:20.23-05:00,,,0,0,{}
0010963,0010963,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.26-05:00,2025-02-06T14:42:20.26-05:00,,,0,0,{}
0010964,0010964,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.277-05:00,2025-02-06T14:42:20.277-05:00,,,0,0,{}
0010965,0010965,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.293-05:00,2025-02-06T14:42:20.293-05:00,,,0,0,{}
0010966,0010966,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.31-05:00,2025-02-06T14:42:20.31-05:00,,,0,0,{}
0010967,0010967,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.323-05:00,2025-02-06T14:42:20.323-05:00,,,0,0,{}
0010968,0010968,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.357-05:00,2025-02-06T14:42:20.357-05:00,,,0,0,{}
Ceramarte Ltda,0010969,True,Rua Adolfo Konder,70 - Ceramarte,Rio Negrinho Santa Catarina,CEP,.,89295-000,BRZ,+55 47 3641 1107,,,1,AR03,C,0000,,100,,,,,,,,DHL Int'l Acct. No.: 964599626,,,"AmEx Acct. No. 37265 791 249 10005
Exp. No. 11/07
Security Code:  6203
Name on Card:  Mr. Klaus Schumacher Jr.
                               
DHL Int'l Acct. No.: 964599626",,,,,,,,0.0,2024-01-10T15:54:43.473-05:00,2025-01-08T16:26:55.647-05:00,,,0,0,{}
0010970,0010970,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.37-05:00,2025-02-06T14:42:20.37-05:00,,,0,0,{}
0010971,0010971,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.387-05:00,2025-02-06T14:42:20.387-05:00,,,0,0,{}
"Rolls-Royce HTC, Inc.",0010972,False,18411 Gothard Street,Unit B,,Huntington Beach,CA,92648,USA,(714) 375-4085,moses.bloom@rolls-royce.com,www.rolls-royce.com,1,AR10,C,0000,,100,,,,,,,,"UPS Acct. No. FA4-531

The following must be on labels:
Buyer Specification: MS-115 REV NC  (sales:this is for Code 17940)
PO Number:
Date of Manufacture: 

Silicon Carbide 17940 is packed in 10 Kg units.

Certificate of Compliance is required with each s",,,"3/19/15  Bob in A/P said he would research returned ACH payment of 491322 and 
               set up new payment for next week.    

9/24/20  Emailed AP re 581408
UPS Acct. No. FA4-531

The following must be on labels:
Buyer Specification: MS-115 REV NC  (sales:this is for Code 17940)
PO Number:
Date of Manufacture: 

Silicon Carbide 17940 is packed in 10 Kg units.

Certificate of Compliance is required with each shipment

NFPA Label must be on package

Material must have a miniumum of 4 year shelf life

Must be one lot  

Contact rrtransportation@cevalogistics.com for shipping instructions.  Tel:  (317) 837-5732 (7am - 6.30pm) and (317) 407-4909 (afterhours)

Email tracking number to Moses.Bloom@Rolls-Royce.com
and to purchasing agent on PO 

Email invoice to: rrhtcpo@rolls-royce.com",,,,,,,,500000.0,2024-01-10T15:54:44.213-05:00,2025-01-08T16:26:55.693-05:00,,,0,0,{}
C & S Specialty Inc.,0010974,True,121 Piermont Road,,,Norwood,NJ,07648,USA,(201) 750-7740,cnsintinc@aol.com,,1,AR10,C,0000,,100,,,,,,,,,,,,,,,,,,,1000.0,2024-01-10T15:46:45.893-05:00,2024-01-10T15:46:45.893-05:00,,,0,0,{}
0010975,0010975,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.403-05:00,2025-02-06T14:42:20.403-05:00,,,0,0,{}
0010976,0010976,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.417-05:00,2025-02-06T14:42:20.417-05:00,,,0,0,{}
0010978,0010978,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.433-05:00,2025-02-06T14:42:20.433-05:00,,,0,0,{}
0010979,0010979,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.45-05:00,2025-02-06T14:42:20.45-05:00,,,0,0,{}
0010981,0010981,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.48-05:00,2025-02-06T14:42:20.48-05:00,,,0,0,{}
0010982,0010982,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.497-05:00,2025-02-06T14:42:20.497-05:00,,,0,0,{}
0010983,0010983,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.51-05:00,2025-02-06T14:42:20.51-05:00,,,0,0,{}
Bridge Organics Co.,0010984,False,311 W. Washington Street,Attn: Alexander Boltenko,,Vicksburg,MI,49097-1200,USA,(269) 649-4200,sourcing@bridgeorganics.com,www.bridgeorganics.com,1,AR10,C,0000,,100,,,,,,,,"FedEx Acct. No. 3163-4295-7

Email Tracking Number to Bob Watson at purchasing@bridgeorganics.com",,,"3/30/22 emailed ap ref 603573 - Did not have invoice, check will go out next week
FedEx Acct. No. 3163-4295-7

Email Tracking Number to Bob Watson at purchasing@bridgeorganics.com",,,,,,,,5000.0,2024-01-10T15:54:44.957-05:00,2025-01-08T16:26:55.757-05:00,,,0,0,{}
0010985,0010985,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.527-05:00,2025-02-06T14:42:20.527-05:00,,,0,0,{}
"TEOS Group, Inc.",0010986,True,1820 Empire Industrial Court,Suite E,,Santa Rosa,CA,95403,USA,(707) 579-1449,don@teosgroup.com,,1,AR03,C,0000,,100,,,,,,,,,,,"Donald Rogers
Visa
4988 6591 6713 8131
exp 02/10
Code 363
                                
Customer defaulted on contract for Tantalum Ethoxide, contract no. 357247 ending 12/10/08.  Could not locate the customer by any means when the contract expired.

Don't accept another contract.",,,,,,,,0.0,2024-01-10T15:46:46.62-05:00,2025-01-08T16:26:55.803-05:00,,,0,0,{}
0010987,0010987,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.543-05:00,2025-02-06T14:42:20.543-05:00,,,0,0,{}
0010988,0010988,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.56-05:00,2025-02-06T14:42:20.56-05:00,,,0,0,{}
0010989,0010989,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.573-05:00,2025-02-06T14:42:20.573-05:00,,,0,0,{}
SAIC,0010990,False,155 Passaic Avenue,,,Fairfield,NJ,07004-3561,USA,(973) 808-4795,KELLY.L.BABBS@saic.com,,1,AR15,C,0000,,100,,,,,,,,"Shipments under 151 LBS go UPS Prepay/Add

Shipments between 151 to 5000 lbs use Old Dominion
Third Party Billing to:   
 SAIC c/o Data 2 Logistics
 12631 Westlinks Drive
 Fort Myers, FL 33913

P.O No. must be on BOL

Shipments over 5000 lbs contact the b",,,"2/22/10    Left message for A/P (973)575-6620.
2/22/10  Faxed 389033 to Virna @ (973)860-1186 per her request.
4/25/18 Sent invoice to MARGUERITTA.D.MOSCARA@saic.com
05/03/18 Sent email to MARGUERITTA.D.MOSCARA@saic.com. Response stated                material not received, Passing this to sales.DONNA.M.WARD@saic.com is                the ap  person
7/1/19  Received check payment that did not include the freight on 2 invoices.                         Contacted margueritta and donna. 
7/11/19  received a check for the freight that was not included on first payment.
8/12/19  contacted . <KATY.C.WU@saic.com> about past due invoice
8/12/19  Katy said was forwarding this to MARGUERITTA.D.MOSCARA@saic.com
9/14/20  Emailed 583388 to AP-invoices@saic.com.  Julia said will pay 9/22
11/12/20  Emailed 585720 to AP because freight not included with payment
12/14/20  Per Donna to Tina, terms will be Net 15.  Also emailed copy of UPS frt
                 charge supporting 585720.
11/4/21 emailed ap-invoices@saic.com ref 598029
4/7/22 - emailed ap-invoices@saic.com ref 603595 & 604596
4/26/22 emailed ap ref 603595 & 604596
5/3/22 emailed Margo ref 603595 & 604596
6/23/22 emailed ap ref 607940
8/8/22 emailed ap ref 607940, 608545, 609623
9/13 emailed ap ref 611625

Shipments under 151 LBS go UPS Prepay/Add

Shipments between 151 to 5000 lbs use Old Dominion
Third Party Billing to:   
 SAIC c/o Data 2 Logistics
 12631 Westlinks Drive
 Fort Myers, FL 33913

P.O No. must be on BOL

Shipments over 5000 lbs contact the buyer for shiipping instructions


INSTRUCTIONS FOR BOTTLES:

Special bar code labels required

Pack 6, 12, or 24 bottles in compartmentized fiber board box

Package and box IAW MIL-STD-129P(3)

SDS must have:
Contract Number SPM4AR-07-D-0001
Manufacturer's CAGE code 61665
Contractor's name and CAGE Code SAIC 79343
National Stock number 6810-00-816-1025
Specification reference Molybdenum Disulfide, 
Technical
Specification number/revision
Type AMS-M-7866

Certificate of conformance to include:
Contract Number SPM4AR-07-D-0001
NSN 6810-00-816-1025
Manufacture and Expiration date
PO No 

Email tracking number to kelly.l.babbs@saic.com

Email invoice to sclaccountspayable@ASRCFederal.com

Per Donna ok to ship early


INSTRUCTIONS FOR 1 LB CANS

Special bar code labels required 

Unit can conforming to PPP-C-96, Type V,
Class 2. Pack 12 cans per fiberboad (compartmentized) box. Secondary seal required for screw top caps.Package and box IAW MIL-STD-129P(3)

SDS must have:
Contract Number SPM4AR-07-D-0001
Manufacturer's CAGE code 61665
Contractor's name and CAGE Code SAIC 79343
National Stock number 6810-00-264-6715
Specification reference Molybdenum Disulfide, 
Technical
Specification number/revision
Type AMS-M-7866

Certificate of conformance to include:
Contract Number SPM4AR-07-D-0001
NSN 6810-00-264-6715
Manufacture and Expiration date
PO No 
        
Palletization shall be in accordance with 
MD00100452 Rev A Date 04090

The attached Packing List must be included with the shipment.  Keep a signed copy for our records.

Email tracking number to conor.w.mcavoy@saic.com and kelly.l.babbs@saic.com

Email invoice to sclaccountspayable@ASRCFederal.com

Per Donna ok to ship early",,,,,,,,32000.0,2024-01-10T15:54:45.737-05:00,2025-01-08T16:26:55.85-05:00,,,0,0,{}
0010991,0010991,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.59-05:00,2025-02-06T14:42:20.59-05:00,,,0,0,{}
0010992,0010992,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.607-05:00,2025-02-06T14:42:20.607-05:00,,,0,0,{}
Fujifilm Hunt Chemicals,0010993,False,"U.S.A., Inc.",411 Manufactures Road,,Dayton,TN,37321,USA,(423) 775-2281,aunderwood@fujihuntusa.com,www.fujihuntusa.com,1,AR10,C,0000,,100,,,,,,,,"Preferred method of shipment:

UPS Ground - PPA
Old Dominion - Collect Acct. No. 12559360

PO No must be listed on bill of Lading.

Check for special packaging quantity they need in 4 mil bags.  Package multiple bags per drum (quantity will depend on tota",,,"Preferred method of shipment:

UPS Ground - PPA
Old Dominion - Collect Acct. No. 12559360

PO No must be listed on bill of Lading.

Check for special packaging quantity they need in 4 mil bags.  Package multiple bags per drum (quantity will depend on total order)

Each drum labeled 'FUJI Hunt CAT 5336.' (large label)

When shipping multiple lots, mark the outer container with the lot number and quantities for that drum.  Can ship no more that 2 different lots per pallet.  Pallet must also be labeled with lot numbers and quantities.  

If shipping multiple drums, shipment must be palletized.

Tech Data must be faxed to 423-570-0043 prior to shipment.",,,,,,,,0.0,2024-01-10T15:54:46.51-05:00,2025-01-08T16:26:55.913-05:00,,,0,0,{}
Metalquimica S A,0010994,False,Attn: Dr. Kyriacos Shakalli,Manager,50th Street House No 11,Panama City,.,.,PAN,011-507-264-2663,kshakalli@gmail.com,,1,AR03,C,0000,,100,,,,,,,,"Freight Fowarder:
Platinum Cargo Logistics, Inc.
19051 Kenswick Dr Suite 190
Humble, Texas 77338
Contact: Glenda Romero
Office: 281-404-3440
Direct: 281-404-3464
Fax: 281-404-3436
Email: glenda.romero@platinumcargo.com",,,"Freight Fowarder:
Platinum Cargo Logistics, Inc.
19051 Kenswick Dr Suite 190
Humble, Texas 77338
Contact: Glenda Romero
Office: 281-404-3440
Direct: 281-404-3464
Fax: 281-404-3436
Email: glenda.romero@platinumcargo.com",,,,,,,,0.0,2024-01-10T15:54:47.22-05:00,2025-01-08T16:26:55.96-05:00,,,0,0,{}
0010995,0010995,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.637-05:00,2025-02-06T14:42:20.637-05:00,,,0,0,{}
"Corechem, Inc.",0010996,False,4320 Greenway Drive,,,Knoxville,TN,37918,USA,(865) 524-4239,purchasing@corecheminc.com,www.corecheminc.com,1,AR10,C,0000,,100,,,,,,,,"Vitran Express Trucking:
Headquarters in Appleton, WI: 920-830-0574
Hub in San Antonio, TX: 210-223-6270

Preferred Carrier: Averitt Express - Collect (confirm with customer)

Include PO No. on all shipping documents and labels    

Email tech data sheet",,,"11/17/21 sent email to accounting@corecheminc.com ref 599371
4/7/22 sent email to accounting@corecheminc.com ref 604123
10/24/22 sent email to accounting@corecheminc.com ref 613088
10/24/22 was sent to wrong email. Customer account has been updated
9/5/23 emailed ref 625419
9/6/23 Corechem will set up payment today on invoice 625419


Vitran Express Trucking:
Headquarters in Appleton, WI: 920-830-0574
Hub in San Antonio, TX: 210-223-6270

Preferred Carrier: Averitt Express - Collect (confirm with customer)

Include PO No. on all shipping documents and labels    

Email tech data sheet and tracking number to receiving@corecheminc.com
Email invoices to: cciaccountingdep@corecheminc.com
Email order confirmations to purchasing agent and purchasing@corecheminc.com
Email SDS to regulatory@corecheminc.com 
Email tech data sheet and BOL to purchasing@corecheminc.com",,,,,,,,5000.0,2024-01-10T15:54:47.937-05:00,2025-01-08T16:26:56.023-05:00,,,0,0,{}
BorgWarner Morse Tec Mexico,0010997,True,Calle 2 No. 10543,Parque Industrial el Salto,CP 45680,El Salto Jalisco,.,.,MEX,55 33 3688 0750,LAlcala@borgwarner.com,www.borgwarner.com,1,AR30,C,0000,,100,,,,,,,,"SPECIAL INSTRUCTIONS:

Pack under Nitrogen and place black electrical tape around the cap/lid.

Pack 6  bottles/drum

Unless otherwise indicated on purchase order we must notify customer of approx. shipping weight & dimensions then they will advise us how",,,"SPECIAL INSTRUCTIONS:

Pack under Nitrogen and place black electrical tape around the cap/lid.

Pack 6  bottles/drum

Unless otherwise indicated on purchase order we must notify customer of approx. shipping weight & dimensions then they will advise us how to ship the material.  Calculate as follows per John:

Each drum of 6 bottles weighs about 26 lb. & dimensions are approx. 18"" x 18"".
If shipping by truck drums will be placed on a pallet (up to 27 drums per pallet).  Each pallet weighs about 52 lb & dimensions are approx. 48"" x 40"".

FedEx Int'l cannot deliver C2540, Iron Chloride to destination city (El Salto Jalisco, MX CP 45680)

If shipping via Unishippers:
Contact Unishippers Trucking Company to arrange pickup:  888-759-2200 or 956-728-0000
Contact:  Cesar Ramirez

If using Freight Forwarder:
Cargoquin, Inc.
5803 East Drive
Laredo, TX  78041
956-722-9978
Contact:  Betzy Ramirez

Send copy of invoice via email to:

1) Luis Alcala at  LAlcala@borgwarner.com
2) Manuel Iñiguez at MIniguez@borgwarner.com
3) If shipping Unishippers; Cesar Ramirez: cesar.ramirez@unishippers.com",,,,,,,,0.0,2024-01-10T15:54:48.68-05:00,2025-01-08T16:26:56.07-05:00,,,0,0,{}
"Concrete Solutions, Inc.",0010998,True,"3300 Bee Cave Road, Suite 650",,,Austin,TX,78746,USA,(512) 327-8481,csi@soundsorb.com,,1,AR03,C,0000,,101,,,,,,,,FedEx Account # 1749 49 093,,,"American Express
3715 485655 71006
Expires:  10/09
O. Boone Bucher
Sec. 6184
                        
                                    
FedEx Account # 1749 49 093",,,,,,,,0.0,2024-01-10T16:16:05.627-05:00,2025-01-08T16:26:56.13-05:00,,,0,0,{}
0010999,0010999,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.653-05:00,2025-02-06T14:42:20.653-05:00,,,0,0,{}
0011000,0011000,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.667-05:00,2025-02-06T14:42:20.667-05:00,,,0,0,{}
Megapol,0011001,False,151 La Rose Avenue,Suite 1103,"Etobicoke, ON, M9P 1B3",.,.,.,CAN,(905) 826-0000,megapol@3web.com,,1,AR03,C,0000,,100,,,,,,,,FedEx Acct. No. 280-251-143,,,FedEx Acct. No. 280-251-143,,,,,,,,0.0,2024-01-10T15:54:49.45-05:00,2025-01-08T16:26:56.177-05:00,,,0,0,{}
"IMS, Inc.",0011002,True,340 Progress Drive,,,Manchester,CT,06040,USA,(860) 649-4415,plewis@imswire.com,www.imswire.com,1,AR00,C,0000,,100,,,,,,,,,,,,,,,,,,,0.0,2024-01-10T15:54:50.2-05:00,2024-01-10T15:54:50.2-05:00,,,0,0,{}
0011003,0011003,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.683-05:00,2025-02-06T14:42:20.683-05:00,,,0,0,{}
0011004,0011004,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.7-05:00,2025-02-06T14:42:20.7-05:00,,,0,0,{}
0011005,0011005,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.73-05:00,2025-02-06T14:42:20.73-05:00,,,0,0,{}
"Techno Goal, Inc.",0011006,True,17710 SW 80 Ct.,,,Miami,FL,33157,USA,(305) 259-0051,,,1,AR00,C,0000,,100,,,,,,,,DHL Acct:  803302996,,,DHL Acct:  803302996,,,,,,,,0.0,2024-01-10T15:46:47.383-05:00,2025-01-08T16:26:56.223-05:00,,,0,0,{}
The J & S Company,0011007,False,P.O. Box 266335,,,Weston,FL,33326,USA,(954) 452-5911,,,1,AR03,C,0000,,100,,,,,,,,UPS Acct. No. 5W2V27,,,UPS Acct. No. 5W2V27,,,,,,,,0.0,2024-01-10T15:54:50.963-05:00,2025-01-08T16:26:56.273-05:00,,,0,0,{}
0011008,0011008,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.747-05:00,2025-02-06T14:42:20.747-05:00,,,0,0,{}
"Solvay Solexis, Inc",0011009,True,10 Leonard lane,,,Thorofare,NJ,08086,USA,(856) 251-3497,,,1,AR00,C,0000,,100,,,,,,,,,,,,,,,,,,,0.0,2024-01-10T15:54:51.737-05:00,2024-01-10T15:54:51.737-05:00,,,0,0,{}
0011010,0011010,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.76-05:00,2025-02-06T14:42:20.76-05:00,,,0,0,{}
0011011,0011011,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.777-05:00,2025-02-06T14:42:20.777-05:00,,,0,0,{}
0011012,0011012,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.793-05:00,2025-02-06T14:42:20.793-05:00,,,0,0,{}
Charleston Collegiate School,0011013,True,2024 Academy Drive,,,Johns Island,SC,29455,USA,(843) 559-5506,lgarland@charlestoncollegiate.org,www.charlestoncollegiate.org,1,AR00,C,0000,,100,,,,,,,,,,,,,,,,,,,0.0,2024-01-10T15:54:52.51-05:00,2024-01-10T15:54:52.51-05:00,,,0,0,{}
"SSCI, Inc.",0011014,True,3065 Kent Avenue,,,West Lafayette,IN,47906,USA,(765) 463-0112,cburge@ssci-inc.com,,1,AR10,C,0000,,100,,,,,,,,,,,,,,,,,,,1000.0,2024-01-10T15:46:48.187-05:00,2024-01-10T15:46:48.187-05:00,,,0,0,{}
0011015,0011015,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.81-05:00,2025-02-06T14:42:20.81-05:00,,,0,0,{}
0011016,0011016,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.823-05:00,2025-02-06T14:42:20.823-05:00,,,0,0,{}
0011017,0011017,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.84-05:00,2025-02-06T14:42:20.84-05:00,,,0,0,{}
0011018,0011018,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.857-05:00,2025-02-06T14:42:20.857-05:00,,,0,0,{}
0011019,0011019,False,.,,,.,.,.,,,,,1,AR30,BOOK,00,,100,,,USD,,,,,,,,,,,,,,,,0.0,2025-02-06T14:42:20.887-05:00,2025-02-06T14:42:20.887-05:00,,,0,0,{}
